category,name,price
Feed The Crowd,Asad's Loaded Jawn,Priced by add-ons
Feed The Crowd,Fire Fries,Priced by add-ons
Feed The Crowd,Drip & Dip,Priced by add-ons
Feed The Crowd,Heat Stack,Priced by add-ons
Feed The Crowd,Wrap It Up,Priced by add-ons
Feed The Crowd,The Sweet Side,Priced by add-ons
Meals,Asads 1 - 1x Slider With Fries,$13.00
Meals,Asads 2 - 2x Sliders With Fries,$19.50
Meals,Asads 3 - 2x Tenders With Fries,$16.90
Meals,"Asads 4 - 1x Tender, 1x Slider With Fries",$18.20
Meals,Asads 5 - 1x Tender Wrap With Fries,$13.00
Meals,Asads 6 - Loaded Fries,$18.20
Meals,Asads 7 - Mac Attack,$15.60
Meals,Asads 8 - Loaded Mac,$15.60
Sides,Single Slider,$9.10
Sides,Single Tender,$6.50
Sides,Single Tender Wrap,$9.10
Sides,Fries,$5.90
Sides,Cheese Fries,$7.20
Sides,Extra Cheese On Side,$0.70
Sides,Extra Pickles On Side,$0.50
Sides,Extra Asad'S Sauce On Side,$0.50
Sides,Extra Coleslaw On Side,$0.50
Sides,8oz Cup Of Asad's Sauce,$4.60
Sides,8oz Cup Of Pickles,$4.60
Sides,8oz Cup Of Coleslaw,$5.20
Sides,Sliced Bread,$0.70
Sides,Pita Bread,$1.30
Sides,Golden Cup,$6.50
Fruit Smoothies,Razzle Dazzle Smoothie,$10.40
Fruit Smoothies,Bananarama Smoothie,$10.40
Fruit Smoothies,Tutti Frutti Smoothie,$10.40
Fruit Smoothies,Tropical Smoothie,$10.40
Fruit Smoothies,Mango Lassi,$9.10
Milkshakes,Vanilla Milkshake,$11.70
Milkshakes,Strawberry Milkshake,$11.70
Milkshakes,Chocolate Milkshake,$11.70
Milkshakes,Cookies & Cream Milkshake,$11.70
Milkshakes,Nutella Magic Milkshake,$11.70
Milkshakes,Peanut Butter Blast Milkshake,$11.70
Water,Water,$2.70
Water,ICE CUP,$1.20
Water,Smart water,$3.90
Water,Spring water,$2.60
Water,Cup water,$1.80
Water,Vitamin water,$3.90
Cans,Dr. Pepper Can,$2.10
Cans,Minute Maid Lemonade Can,$2.10
Cans,Can Coke,$2.10
Cans,Can Coke Zero,$2.10
Cans,Can Peace Tea,$2.10
Cans,Can Fanta,$2.10
Cans,Can Diet Coke,$2.10
Cans,Can Ginger Ale,$2.10
Cans,Can Sprite,$2.10
Cans,Brisk Iced Tea,$2.10
Glass Bottle,Coke Glass Bottle,$3.90
Glass Bottle,Sprite Glass Bottle,$3.90
Glass Bottle,Fanta Glass Bottle,$3.90
20 Oz Drinks,Sprite 20 oz,$3.60
20 Oz Drinks,MM Pink Lemonade 20 oz,$3.90
20 Oz Drinks,Ginger Ale 20 oz,$3.60
20 Oz Drinks,LEMONADE 20 oz,$3.90
20 Oz Drinks,Diet Coke 20 oz,$3.60
20 Oz Drinks,Coke Zero 20 oz,$3.60
20 Oz Drinks,Coke 20 oz,$3.60
20 Oz Drinks,FANTA ORANGE 20 oz,$3.60
20 Oz Drinks,FANTA PINEAPPLE 20 oz,$3.60
20 Oz Drinks,FANTA GRAPE 20 oz,$3.60
20 Oz Drinks,Gold Peak Sweet Tea,$3.60
20 Oz Drinks,Gold Peak Peach Tea,$3.60
20 Oz Drinks,Gold Peak Tea & Leamonade,$3.60
20 Oz Drinks,Gold Peak Green Tea,$3.60
20 Oz Drinks,Gold Peak Lemon Tea,$3.60
20 Oz Drinks,Vitaminwater,$3.90
20 Oz Drinks,Fanta strawberry,$3.60
20 Oz Drinks,Dr Pepper,$3.60
20 Oz Drinks,Fuze,$3.60
20 Oz Drinks,Blue Lemonade,$3.90
20 Oz Drinks,Cherry Sprite,$3.60
20 Oz Drinks,DR PEPPER,$3.60
20 Oz Drinks,Root beer,$3.60
20 Oz Drinks,Strawberry fanta,$3.60
20 Oz Drinks,Cherry coke,$3.60
20 Oz Drinks,Sprite zero,$3.60
20 Oz Drinks,Fountain Drinks,$3.20
20 Oz Drinks,DR peper zero,$3.60
Energy Drinks,Monster,$3.90
Energy Drinks,Power ade,$3.60
Fountain Drinks,Fountain Dr Pepper,$3.40
Fountain Drinks,Fountain Coke zero,$3.40
Fountain Drinks,Fountain Fanta,$3.40
Fountain Drinks,Fountain Diet Coke,$3.40
Fountain Drinks,Fountain Sprite,$3.40
Fountain Drinks,Fountain Coke,$3.40
Fountain Drinks,Fountain Seagrams Ginger Ale,$3.40
Fountain Drinks,Fountain Minute Maid Lemonade,$3.40
Desserts,Banana Pudding,$6.50
Sauce On The Side,Sauce On The Side,$0.50
Sauce On The Side,Pickle On The Side,$0.50
Sauce On The Side,Coleslaw On The Side,$0.50
Sauce On The Side,Cheese On The Side,$0.70
